,Year,Order method,Revenue,Product line,Product type,Product,Retailer country
53,2004,Web,348446.25,Camping Equipment,Cooking Gear,TrailChef Water Bag,Finland 
54,2004,Web,44093.69,Camping Equipment,Cooking Gear,TrailChef Water Bag,Denmark 
55,2004,Web,121196.69,Camping Equipment,Cooking Gear,TrailChef Water Bag,France 
56,2004,Web,74427.46,Camping Equipment,Cooking Gear,TrailChef Water Bag,Germany 
57,2004,Web,168290.41,Camping Equipment,Cooking Gear,TrailChef Water Bag,United Kingdom
58,2004,Web,56911.24,Camping Equipment,Cooking Gear,TrailChef Water Bag,Belgium 
59,2004,Web,74427.46,Camping Equipment,Cooking Gear,TrailChef Water Bag,Switzerland 
60,2004,Web,168290.41,Camping Equipment,Cooking Gear,TrailChef Water Bag,Austria 
61,2004,Web,13707.2,Camping Equipment,Cooking Gear,TrailChef Water Bag,Italy 
62,2004,Web,127219.95,Camping Equipment,Cooking Gear,TrailChef Water Bag,Spain 
63,2004,Special,74427.46,Camping Equipment,Cooking Gear,TrailChef Water Bag,United 
64,2004,Special,168290.41,Camping Equipment,Cooking Gear,TrailChef Water Bag,Canada 
65,2004,Special,27842.75,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mexico 
66,2004,Special,52613.47,Camping Equipment,Cooking Gear,TrailChef Water Bag,Brazil 
67,2004,Special,41912.85,Camping Equipment,Cooking Gear,TrailChef Water Bag,Japan 
68,2004,Special,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Korea 
69,2004,Special,156324.28,Camping Equipment,Cooking Gear,TrailChef Water Bag,China 
70,2004,Special,23042.67,Camping Equipment,Cooking Gear,TrailChef Water Bag,Singapore 
71,2004,Special,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Australia 
72,2004,Special,66446.59,Camping Equipment,Cooking Gear,TrailChef Water Bag,Netherlands 
73,2004,Special,13620.11,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sweden 
74,2004,Special,77447.93,Camping Equipment,Cooking Gear,TrailChef Water Bag,Finland 
75,2004,Special,6615.84,Camping Equipment,Cooking Gear,TrailChef Water Bag,Denmark 
76,2004,Special,52613.47,Camping Equipment,Cooking Gear,TrailChef Water Bag,France 
77,2004,Special,41912.85,Camping Equipment,Cooking Gear,TrailChef Water Bag,Germany 
78,2004,Special,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,United Kingdom
79,2004,Special,156324.28,Camping Equipment,Cooking Gear,TrailChef Water Bag,Belgium 
80,2004,Special,23042.67,Camping Equipment,Cooking Gear,TrailChef Water Bag,Switzerland 
81,2004,Special,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Austria 
82,2004,Special,66446.59,Camping Equipment,Cooking Gear,TrailChef Water Bag,Italy 
83,2004,Special,13620.11,Camping Equipment,Cooking Gear,TrailChef Water Bag,Spain 
84,2004,Mail,77447.93,Camping Equipment,Cooking Gear,TrailChef Water Bag,United States
85,2004,Mail,6615.84,Camping Equipment,Cooking Gear,TrailChef Water Bag,Canada 
86,2004,Mail,52613.47,Camping Equipment,Cooking Gear,TrailChef Water Bag,Mexico 
87,2004,Mail,41912.85,Camping Equipment,Cooking Gear,TrailChef Water Bag,Brazil 
88,2004,Mail,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Japan 
89,2004,Mail,156324.28,Camping Equipment,Cooking Gear,TrailChef Water Bag,Korea 
90,2004,Mail,23042.67,Camping Equipment,Cooking Gear,TrailChef Water Bag,China 
91,2004,Mail,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Singapore 
92,2004,Mail,66446.59,Camping Equipment,Cooking Gear,TrailChef Water Bag,Australia 
93,2004,Mail,13620.11,Camping Equipment,Cooking Gear,TrailChef Water Bag,Netherlands 
94,2004,Mail,77447.93,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sweden 
95,2004,Mail,6615.84,Camping Equipment,Cooking Gear,TrailChef Water Bag,Finland 
96,2004,Mail,52613.47,Camping Equipment,Cooking Gear,TrailChef Water Bag,Denmark 
97,2004,Mail,41912.85,Camping Equipment,Cooking Gear,TrailChef Water Bag,France 
98,2004,Mail,59479.91,Camping Equipment,Cooking Gear,TrailChef Water Bag,Germany 
99,2004,Mail,156324.28,Camping Equipment,Cooking Gear,TrailChef Water Bag,United Kingdom
